Year,Province,District,Rainfall_Actual_mm,Rainfall_Anomaly_pct,Flooded_Area_sqkm,Persons_Affected,Persons_in_Camps,Medical_Camps,Persons_Rescued,Total_Houses_Damaged,Roads_Damaged_km,Est_Damages_USD_Mn,Max_Temp_C,Min_Temp_C,Mean_Temp_C,Total_Deaths_Cum,Fatality_Category,Fatality_Label
2005,Punjab,All (Province Level),160,31.1,1297,864862,25946,1,5189,15568,389,13.8,36.7,24.7,31.2,192,2,Category_2_Critical
2005,Punjab,Lahore,236,76.1,45,29771,893,0,179,536,13,0.5,36.6,22.7,29.7,7,1,Category_1_Low_1to50
2005,Punjab,Multan,158,38.6,42,28236,847,0,169,508,13,0.5,38.6,22.6,30.2,6,1,Category_1_Low_1to50
2005,Punjab,Faisalabad,209,88.3,44,29181,875,0,175,525,13,0.5,38.1,24.4,29.2,6,1,Category_1_Low_1to50
2005,Punjab,Rawalpindi,105,-23.9,46,30741,922,0,184,553,14,0.5,40.3,25.2,30.2,7,1,Category_1_Low_1to50
2005,Punjab,Gujranwala,159,47.2,34,22962,689,0,138,413,10,0.4,38.0,22.1,32.6,5,1,Category_1_Low_1to50
2005,Punjab,Sargodha,141,14.6,43,28809,864,0,173,519,13,0.5,38.2,22.7,32.9,6,1,Category_1_Low_1to50
2005,Punjab,Sialkot,225,78.6,84,55745,1672,0,334,1003,25,0.9,40.1,22.4,29.8,12,1,Category_1_Low_1to50
2005,Punjab,Jhang,152,33.3,25,16885,507,0,101,304,8,0.3,39.6,23.4,30.1,4,1,Category_1_Low_1to50
2005,Punjab,Muzaffargarh,212,100.0,42,28300,849,0,170,509,13,0.5,40.4,25.1,29.8,6,1,Category_1_Low_1to50
2005,Punjab,Rahim Yar Khan,198,52.3,31,20798,624,0,125,374,9,0.3,39.4,22.3,30.4,5,1,Category_1_Low_1to50
2005,Punjab,Bahawalnagar,186,60.3,39,25947,778,0,156,467,12,0.4,35.8,23.2,30.3,6,1,Category_1_Low_1to50
2005,Punjab,Bahawalpur,224,85.1,69,46048,1381,0,276,829,21,0.7,36.1,24.9,32.0,10,1,Category_1_Low_1to50
2005,Punjab,D.G. Khan,167,35.8,64,42683,1280,0,256,768,19,0.7,37.6,22.1,29.4,9,1,Category_1_Low_1to50
2005,Punjab,Rajanpur,141,15.6,30,19889,597,0,119,358,9,0.3,40.0,23.0,30.6,4,1,Category_1_Low_1to50
2005,Punjab,Mianwali,107,-6.1,55,36367,1091,0,218,655,16,0.6,36.3,25.7,32.2,8,1,Category_1_Low_1to50
2005,Punjab,Khushab,212,91.0,72,47948,1438,0,288,863,22,0.8,40.0,24.2,32.2,11,1,Category_1_Low_1to50
2005,Punjab,Chakwal,112,0.0,65,43023,1291,0,258,774,19,0.7,37.6,25.3,32.4,10,1,Category_1_Low_1to50
2005,Punjab,Jhelum,156,39.3,26,17651,530,0,106,318,8,0.3,36.1,23.4,32.8,4,1,Category_1_Low_1to50
2005,Punjab,Kasur,197,68.4,43,28799,864,0,173,518,13,0.5,40.4,25.8,30.0,6,1,Category_1_Low_1to50
2005,Punjab,Sheikhupura,137,30.5,46,30378,911,0,182,547,14,0.5,38.5,24.0,29.2,7,1,Category_1_Low_1to50
2005,Punjab,Gujrat,130,19.3,50,33535,1006,0,201,604,15,0.5,37.9,25.9,30.0,7,1,Category_1_Low_1to50
2005,Punjab,Hafizabad,130,0.0,70,46915,1407,0,281,844,21,0.7,37.3,24.5,31.5,10,1,Category_1_Low_1to50
2005,Punjab,Narowal,216,87.8,41,27024,811,0,162,486,12,0.4,36.4,22.2,31.4,6,1,Category_1_Low_1to50
2005,Punjab,Layyah,170,51.8,43,28922,868,0,174,521,13,0.5,38.7,22.7,31.8,6,1,Category_1_Low_1to50
2005,Punjab,Bhakkar,116,0.0,58,38714,1161,0,232,697,17,0.6,36.1,25.7,32.5,9,1,Category_1_Low_1to50
2005,Sindh,All (Province Level),230,43.8,974,649168,19475,1,3895,11685,292,10.3,38.2,24.1,30.5,144,2,Category_2_Critical
2005,Sindh,Karachi,324,95.2,40,26488,795,0,159,477,12,0.4,37.2,23.4,31.9,6,1,Category_1_Low_1to50
2005,Sindh,Hyderabad,299,79.0,93,62089,1863,0,373,1118,28,1.0,35.9,22.6,32.6,14,1,Category_1_Low_1to50
2005,Sindh,Sukkur,159,-5.4,42,28152,845,0,169,507,13,0.5,35.5,22.6,31.2,6,1,Category_1_Low_1to50
2005,Sindh,Larkana,184,8.2,70,46905,1407,0,281,844,21,0.7,36.7,23.3,32.0,10,1,Category_1_Low_1to50
2005,Sindh,Khairpur,274,68.1,75,50149,1504,0,301,903,23,0.8,36.0,23.5,30.1,11,1,Category_1_Low_1to50
2005,Sindh,Jacobabad,219,22.3,52,34447,1033,0,207,620,16,0.6,38.7,25.2,31.0,8,1,Category_1_Low_1to50
2005,Sindh,Shikarpur,178,4.1,58,38664,1160,0,232,696,17,0.6,36.9,22.1,31.6,9,1,Category_1_Low_1to50
2005,Sindh,Kashmore,335,86.1,46,30873,926,0,185,556,14,0.5,37.4,22.1,32.7,7,1,Category_1_Low_1to50
