Year,Province,District,Rainfall_Actual_mm,Rainfall_Anomaly_pct,Rainfall_Normal_mm,Max_Temp_C,Min_Temp_C,Mean_Temp_C,Flooded_Area_sqkm,Area_Affected_Acres,Persons_Affected,Villages_Affected,Total_Houses_Damaged,Houses_Fully_Damaged,Houses_Partially_Damaged,Schools_Total,Roads_Damaged_km,Bridges_Damaged,Est_Damages_USD_Mn,Damage_Level,Damage_Label,Rainfall_Actual_mm_normalized,Rainfall_Anomaly_pct_normalized,Rainfall_Normal_mm_normalized,Max_Temp_C_normalized,Min_Temp_C_normalized,Mean_Temp_C_normalized,Flooded_Area_sqkm_normalized,Area_Affected_Acres_normalized,Persons_Affected_normalized,Total_Houses_Damaged_normalized,Roads_Damaged_km_normalized,Est_Damages_USD_Mn_normalized
2005,Punjab,All (Province Level),160,31.1,122,36.7,24.7,31.2,1297,449728,864862,1168,15568,5189,10378,190,389,7,13.8,1,Medium,0.12173913043478261,0.13407072230601644,0.23275862068965517,0.19354838709677458,0.5531914893617017,0.42857142857142827,0.02614299856556963,0.02615633893427105,0.026156355191178007,0.026157930801102413,0.02612970570408782,0.0009418785320444953
2005,Punjab,Lahore,236,76.1,134,36.6,22.7,29.7,45,15481,29771,40,536,179,357,7,13,0,0.5,0,Low,0.2318840579710145,0.20948550360315069,0.33620689655172414,0.17741935483870983,0.12765957446808468,0.12244897959183633,0.0008485362749257531,0.0008492291345736204,0.0008492268014681505,0.0008502127215393396,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Multan,158,38.6,114,38.6,22.6,30.2,42,14683,28236,38,508,169,339,6,13,0,0.5,0,Low,0.11884057971014493,0.1466398525222055,0.16379310344827586,0.5,0.10638297872340427,0.22448979591836699,0.000787926541002485,0.0008027231745551091,0.0008027091859290001,0.0008030722142064653,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Faisalabad,209,88.3,111,38.1,24.4,29.2,44,15174,29181,39,525,175,350,6,13,0,0.5,0,Low,0.1927536231884058,0.22993128875481816,0.13793103448275862,0.41935483870967744,0.48936170212765906,0.020408163265305694,0.0008283330302846637,0.0008313377439399325,0.0008313470665052197,0.0008316932365157104,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Rawalpindi,105,-23.9,138,40.3,25.2,30.2,46,15985,30741,42,553,184,369,7,14,0,0.5,0,Low,0.042028985507246375,0.04189710072063014,0.3706896551724138,0.774193548387096,0.659574468085106,0.22448979591836699,0.0008687395195668424,0.0008786013198484699,0.0008786222979326299,0.0008788337438485847,0.0008754798302916022,2.7500103125386724e-05
2005,Punjab,Gujranwala,159,47.2,108,38.0,22.1,32.6,34,11940,22962,31,413,138,276,5,10,0,0.4,0,Low,0.12028985507246377,0.16105245517010225,0.11206896551724138,0.4032258064516127,0.0,0.7142857142857145,0.0006263005838737702,0.0006428662217596491,0.0006428825381417173,0.0006431312071842133,0.0006061014209711092,2.0625077344040044e-05
2005,Punjab,Sargodha,141,14.6,123,38.2,22.7,32.9,43,14981,28809,39,519,173,346,6,13,0,0.5,0,Low,0.09420289855072464,0.10641863583040055,0.2413793103448276,0.4354838709677422,0.12765957446808468,0.7755102040816323,0.0008081297856435744,0.0008200900618803176,0.0008200737420879143,0.0008215916992300945,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Sialkot,225,78.6,126,40.1,22.4,29.8,84,28987,55745,75,1003,334,669,12,25,0,0.9,0,Low,0.21594202898550724,0.2136752136752137,0.2672413793103448,0.7419354838709676,0.06382978723404195,0.14285714285714277,0.0016364628159282382,0.0016363337661651192,0.0016363594047345295,0.0016364490402697783,0.0016162704559229578,5.500020625077345e-05
2005,Punjab,Jhang,152,33.3,114,39.6,23.4,30.1,25,8780,16885,23,304,101,203,4,8,0,0.3,0,Low,0.11014492753623188,0.13775766716943189,0.16379310344827586,0.6612903225806451,0.2765957446808505,0.20408163265306128,0.0004444713821039659,0.00045870728233797465,0.00045872126802353044,0.0004596199464955242,0.00047141221631086266,1.375005156269336e-05
2005,Punjab,Muzaffargarh,212,100.0,106,40.4,25.1,29.8,42,14716,28300,38,509,170,340,6,13,0,0.5,0,Low,0.19710144927536233,0.2495391318920731,0.09482758620689655,0.7903225806451607,0.6382978723404257,0.14285714285714277,0.000787926541002485,0.000804646353352867,0.0008046486826029451,0.000804755803754068,0.0008081352279614789,2.7500103125386724e-05
2005,Punjab,Rahim Yar Khan,198,52.3,130,39.4,22.3,30.4,31,10815,20798,28,374,125,250,5,9,0,0.3,0,Low,0.17681159420289855,0.16959946371711077,0.3017241379310345,0.6290322580645156,0.042553191489361555,0.2653061224489791,0.000565690849950502,0.0005773033081997175,0.0005773033068539509,0.0005774712148277098,0.0005387568186409859,1.375005156269336e-05
2005,Punjab,Bahawalnagar,186,60.3,116,35.8,23.2,30.3,39,13492,25947,35,467,156,311,6,12,0,0.4,0,Low,0.15942028985507245,0.1830065359477124,0.1810344827586207,0.04838709677419307,0.23404255319148895,0.2448979591836734,0.0007273168070792169,0.0007333139033996615,0.0007333418751999349,0.0007340450427547566,0.0007407906256313556,2.0625077344040044e-05
2005,Punjab,Bahawalpur,224,85.1,121,36.1,24.9,32.0,69,23945,46048,62,829,276,553,10,21,0,0.7,0,Low,0.2144927536231884,0.22456845986257754,0.22413793103448276,0.09677419354838729,0.5957446808510634,0.5918367346938774,0.0013334141463118977,0.0013424953571258525,0.0013424953539963268,0.0013435044589869168,0.0013468920466024649,4.125015468808008e-05
