Year,Province,District,Total_Deaths_Cum,Injured_Total_Cum,Total_Houses_Damaged,Cropped_Area_Acres,Roads_Damaged_km,Flooded_Area_sqkm,Persons_Affected,Est_Damages_USD_Mn,Rainfall_Actual_mm,Rainfall_Anomaly_pct
2005,Punjab,All (Province Level),192,634,15568,242161,389,1297,864862,13.8,160,31.1
2005,Punjab,Lahore,7,23,536,8336,13,45,29771,0.5,236,76.1
2005,Punjab,Multan,6,20,508,7906,13,42,28236,0.5,158,38.6
2005,Punjab,Faisalabad,6,20,525,8171,13,44,29181,0.5,209,88.3
2005,Punjab,Rawalpindi,7,23,553,8607,14,46,30741,0.5,105,-23.9
2005,Punjab,Gujranwala,5,16,413,6429,10,34,22962,0.4,159,47.2
2005,Punjab,Sargodha,6,20,519,8067,13,43,28809,0.5,141,14.6
2005,Punjab,Sialkot,12,40,1003,15609,25,84,55745,0.9,225,78.6
2005,Punjab,Jhang,4,13,304,4728,8,25,16885,0.3,152,33.3
2005,Punjab,Muzaffargarh,6,20,509,7924,13,42,28300,0.5,212,100.0
2005,Punjab,Rahim Yar Khan,5,16,374,5823,9,31,20798,0.3,198,52.3
2005,Punjab,Bahawalnagar,6,20,467,7265,12,39,25947,0.4,186,60.3
2005,Punjab,Bahawalpur,10,33,829,12893,21,69,46048,0.7,224,85.1
2005,Punjab,D.G. Khan,9,30,768,11951,19,64,42683,0.7,167,35.8
2005,Punjab,Rajanpur,4,13,358,5569,9,30,19889,0.3,141,15.6
2005,Punjab,Mianwali,8,26,655,10183,16,55,36367,0.6,107,-6.1
2005,Punjab,Khushab,11,36,863,13425,22,72,47948,0.8,212,91.0
2005,Punjab,Chakwal,10,33,774,12046,19,65,43023,0.7,112,0.0
2005,Punjab,Jhelum,4,13,318,4942,8,26,17651,0.3,156,39.3
2005,Punjab,Kasur,6,20,518,8064,13,43,28799,0.5,197,68.4
2005,Punjab,Sheikhupura,7,23,547,8506,14,46,30378,0.5,137,30.5
2005,Punjab,Gujrat,7,23,604,9390,15,50,33535,0.5,130,19.3
2005,Punjab,Hafizabad,10,33,844,13136,21,70,46915,0.7,130,0.0
2005,Punjab,Narowal,6,20,486,7567,12,41,27024,0.4,216,87.8
2005,Punjab,Layyah,6,20,521,8098,13,43,28922,0.5,170,51.8
2005,Punjab,Bhakkar,9,30,697,10840,17,58,38714,0.6,116,0.0
2005,Sindh,All (Province Level),144,475,11685,181767,292,974,649168,10.3,230,43.8
2005,Sindh,Karachi,6,20,477,7417,12,40,26488,0.4,324,95.2
2005,Sindh,Hyderabad,14,46,1118,17385,28,93,62089,1.0,299,79.0
2005,Sindh,Sukkur,6,20,507,7883,13,42,28152,0.5,159,-5.4
2005,Sindh,Larkana,10,33,844,13133,21,70,46905,0.7,184,8.2
2005,Sindh,Khairpur,11,36,903,14042,23,75,50149,0.8,274,68.1
2005,Sindh,Jacobabad,8,26,620,9645,16,52,34447,0.6,219,22.3
2005,Sindh,Shikarpur,9,30,696,10826,17,58,38664,0.6,178,4.1
2005,Sindh,Kashmore,7,23,556,8644,14,46,30873,0.5,335,86.1
2005,Sindh,Dadu,10,33,771,11997,19,64,42848,0.7,337,90.4
2005,Sindh,Jamshoro,5,16,425,6614,11,35,23620,0.4,253,39.8
2005,Sindh,Thatta,12,40,937,14570,23,78,52036,0.8,167,3.7
2005,Sindh,Badin,9,30,715,11119,18,60,39711,0.6,199,13.7
2005,Sindh,Sanghar,8,26,657,10222,16,55,36507,0.6,303,81.4
2005,Sindh,Mirpur Khas,6,20,503,7830,13,42,27966,0.4,157,-4.3
2005,Sindh,Tharparkar,7,23,538,8375,13,45,29912,0.5,144,4.3
2005,Sindh,Umerkot,10,33,771,11995,19,64,42839,0.7,183,10.2
2005,Sindh,Matiari,9,30,731,11375,18,61,40625,0.6,288,57.4
2005,Sindh,Qambar,6,20,482,7499,12,40,26782,0.4,154,12.4
2005,KPK,All (Province Level),121,399,9805,152517,245,817,544704,8.7,163,33.6
2005,KPK,Peshawar,7,23,549,8532,14,46,30473,0.5,238,81.7
2005,KPK,Nowshera,5,16,372,5788,9,31,20672,0.3,209,101.0
2005,KPK,Charsadda,10,33,829,12888,21,69,46030,0.7,167,56.1
2005,KPK,Mardan,6,20,478,7431,12,40,26539,0.4,188,48.0
2005,KPK,Swat,8,26,663,10318,17,55,36849,0.6,194,76.4
2005,KPK,Malakand,9,30,748,11630,19,62,41536,0.7,182,54.2
2005,KPK,Dir Upper,9,30,732,11379,18,61,40640,0.6,239,74.5
2005,KPK,Dir Lower,3,10,214,3322,5,18,11866,0.2,198,86.8
2005,KPK,Chitral,8,26,622,9680,16,52,34571,0.6,115,-10.9
2005,KPK,Mansehra,8,26,617,9600,15,51,34286,0.5,124,-5.3
2005,KPK,Abbottabad,7,23,554,8614,14,46,30765,0.5,148,7.2
2005,KPK,Haripur,6,20,521,8099,13,43,28924,0.5,230,88.5
2005,KPK,Swabi,4,13,342,5323,9,29,19011,0.3,231,115.9
2005,KPK,Buner,8,26,631,9815,16,53,35053,0.6,164,43.9
2005,KPK,Shangla,10,33,826,12846,21,69,45877,0.7,111,-9.0
2005,KPK,Kohistan,8,26,688,10706,17,57,38237,0.6,115,5.5
2005,KPK,Battagram,4,13,357,5546,9,30,19807,0.3,108,-19.4
2005,KPK,Tor Ghar,9,30,749,11646,19,62,41594,0.7,152,14.3
2005,Balochistan,All (Province Level),72,238,5823,90588,146,485,323527,5.1,150,-5.1
2005,Balochistan,Quetta,3,10,221,3445,6,18,12304,0.2,92,-41.4
2005,Balochistan,Khuzdar,6,20,480,7467,12,40,26668,0.4,169,-6.1
2005,Balochistan,Turbat,4,13,337,5235,8,28,18698,0.3,92,-48.9
2005,Balochistan,Gwadar,5,16,404,6291,10,34,22469,0.4,165,-8.3
2005,Balochistan,Lasbela,5,16,374,5818,9,31,20778,0.3,169,-4.5
2005,Balochistan,Mastung,6,20,493,7662,12,41,27364,0.4,174,18.4
2005,Balochistan,Kalat,4,13,294,4581,7,25,16360,0.3,222,22.7
2005,Balochistan,Sibi,7,23,531,8263,13,44,29510,0.5,112,-36.7
2005,Balochistan,Nasirabad,5,16,385,5995,10,32,21409,0.3,216,23.4
2005,Balochistan,Jaffarabad,8,26,616,9589,15,51,34248,0.5,110,-32.1
2005,Balochistan,Bolan,6,20,478,7435,12,40,26553,0.4,146,-0.7
2005,Balochistan,Zhob,9,30,708,11021,18,59,39361,0.6,165,-3.5
2005,Balochistan,Loralai,3,10,269,4184,7,22,14944,0.2,219,34.4
2005,Balochistan,Dera Bugti,3,10,240,3732,6,20,13329,0.2,181,13.8
2005,Balochistan,Kohlu,5,16,397,6173,10,33,22048,0.3,208,35.9
2005,Balochistan,Jhal Magsi,6,20,458,7120,11,38,25427,0.4,119,-15.6
2005,AJK,All (Province Level),36,119,2926,45519,73,244,162569,2.6,199,20.6
2005,AJK,Muzaffarabad,4,13,352,5475,9,29,19553,0.3,274,46.5
2005,AJK,Mirpur,3,10,271,4209,7,23,15031,0.2,295,78.8
2005,AJK,Rawlakot,2,7,164,2547,4,14,9096,0.1,142,-4.1
2005,AJK,Kotli,5,16,383,5957,10,32,21276,0.3,204,17.9
2005,AJK,Bagh,3,10,212,3301,5,18,11788,0.2,151,4.1
2005,AJK,Haveli,4,13,317,4928,8,26,17599,0.3,243,71.1
2005,AJK,Neelum,8,26,629,9789,16,52,34961,0.6,130,-15.6
2005,AJK,Hattian,3,10,239,3723,6,20,13295,0.2,206,20.5
2005,Gilgit-Baltistan,All (Province Level),21,69,1736,27001,43,145,96433,1.5,174,13.0
2005,Gilgit-Baltistan,Gilgit,2,7,128,1985,3,11,7088,0.1,188,32.4
2005,Gilgit-Baltistan,Skardu,2,7,147,2294,4,12,8194,0.1,156,14.7
2005,Gilgit-Baltistan,Ghanche,3,10,279,4347,7,23,15525,0.2,118,-24.4
2005,Gilgit-Baltistan,Ghizer,1,3,118,1843,3,10,6583,0.1,161,0.0
2005,Gilgit-Baltistan,Hunza,2,7,202,3144,5,17,11228,0.2,120,-13.0
2005,Gilgit-Baltistan,Nagar,2,7,137,2131,3,11,7609,0.1,245,81.5
2005,Gilgit-Baltistan,Astore,2,7,125,1939,3,10,6925,0.1,256,49.7
2005,Gilgit-Baltistan,Diamer,4,13,319,4960,8,27,17716,0.3,192,22.3
2005,FATA,All (Province Level),18,59,1432,22276,36,119,79557,1.3,198,39.4
2005,FATA,Khyber,2,7,169,2632,4,14,9400,0.1,146,3.5
2005,FATA,Kurram,1,3,96,1490,2,8,5321,0.1,295,120.1
2005,FATA,Orakzai,3,10,273,4241,7,23,15145,0.2,203,47.1
2005,FATA,Mohmand,3,10,232,3611,6,19,12897,0.2,249,54.7
2005,FATA,Bajaur,3,10,265,4120,7,22,14716,0.2,144,-7.1
2005,FATA,North Waziristan,4,13,296,4598,7,25,16421,0.3,212,55.9
2005,FATA,South Waziristan,2,7,178,2768,4,15,9885,0.2,201,50.0
2006,Pakistan (National),All,782,2581,75600,1176000,1890,6300,4200000,76.4,224,51.4
